Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
0,0,153919.3,N/A,N/A,Lightning,Ice,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
1,0,129807.9,N/A,N/A,Acid,Blaster,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
2,0,98281.38,N/A,N/A,Player,Lightning,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
3,0,131733.1,N/A,N/A,Ice,Player,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
4,0,112077.9,N/A,N/A,Acid,Fire,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
5,0,94881.8,N/A,N/A,Balanced,Lightning,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
6,0,118621.5,N/A,N/A,Player,Balanced,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
7,0,115898.6,N/A,N/A,Blaster,Fire,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
8,0,106537.5,N/A,N/A,Laser,Player,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
9,0,91875.12,N/A,N/A,Balanced,Fire,0,0.2689414,0,0.2689414,0,8.5,0,6.109887,0,3.689414,0,5.034122,0,5.034122,0,0.5,0,-0.4621171,0,0.09966791,0,-0.8807971,0,0.7310586,0,0.2449187,0,2.514752,0,0.1824255,0,2.5,0,2.5,
