Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
0,0,771.3173,N/A,N/A,Fire,Lightning,2.060887,0.3811245,0.01938968,0.2698956,1.452171,9.846652,0.7422258,6.831944,-0.7063282,3.356673,0.1313843,5.131722,1.771121,6.462865,-0.9736148,0.4394477,-0.4425031,-0.5044915,-0.6821441,0.01473093,0.1195688,-0.8776227,0.8572116,0.7710594,0.2664202,0.2759589,2.670809,3.594294,-2.003947,0.1190994,0.3580502,2.611816,0.1790418,2.723206,
1,0,767.8257,N/A,N/A,Player,Fire,0.7438536,0.307031,2.174225,0.3878298,-2.823956,5.957286,-0.1572638,5.964358,2.230473,4.911736,2.149127,6.795118,0.7311251,5.595315,-0.3093657,0.4806743,1.655644,-0.2849345,0.9149386,0.2111429,-0.4815635,-0.8928694,-0.8102418,0.6894265,0.5555518,0.3090041,0.1030058,2.551603,-0.5529664,0.1627045,0.4500278,2.640486,0.735456,3.380007,
2,0,760.5425,N/A,N/A,Blaster,Laser,-0.7407854,0.2341192,1.997479,0.3773926,-2.639351,6.111641,1.324779,7.436523,4.037029,6.023143,4.513977,8.981192,1.0875,5.884095,-1.402384,0.4132379,0.8925686,-0.370005,-1.46576,-0.08302844,-1.516212,-0.915216,1.108294,0.7819512,-3.008133,-0.1253538,2.492603,3.514843,0.6742534,0.2089218,2.052396,3.127663,0.1646329,2.705328,
3,0,767.981,N/A,N/A,Ice,Ice,-0.7879477,0.2320117,0.6420516,0.3016428,1.417659,9.815316,-0.3581161,5.782433,2.632356,5.153453,-1.876349,3.806221,-0.1501929,4.92435,2.145056,0.6309429,0.7311477,-0.3872889,-2.004139,-0.1493909,-1.462255,-0.9141634,-2.802887,0.5742661,-0.7453633,0.1555564,0.4757015,2.688305,-0.8005651,0.1544468,0.3912603,2.622171,3.027091,4.768915,
4,0,762.425,N/A,N/A,Lightning,Balanced,0.3701296,0.2875184,-2.443496,0.1664673,4.216873,12.12376,0.2062166,6.304752,-0.1323264,3.624871,1.287956,6.050581,0.4684322,5.388683,1.659162,0.602236,0.354734,-0.4265389,1.539642,0.2843931,-2.260846,-0.9285888,-1.601565,0.6455669,0.5636218,0.3099163,-3.189342,1.573036,1.972969,0.2676148,0.2043987,2.563861,1.225549,3.865193,
5,0,771.8282,N/A,N/A,Blaster,Laser,-2.897978,0.1512932,1.154145,0.3292755,0.87885,9.320623,-1.075597,5.169469,0.3206162,3.849893,2.040025,6.698426,0.04818647,5.069748,2.347236,0.6426327,0.6287838,-0.3981109,-2.84775,-0.2505211,-1.041664,-0.9055452,3.976549,0.8801802,-0.4704189,0.1889013,3.63583,4.039457,0.2099655,0.1903853,1.863761,3.072112,-1.951032,0.6222041,
6,0,765.7285,N/A,N/A,Blaster,Balanced,-0.9190627,0.2262225,0.458357,0.2920578,0.3278159,8.807156,3.009038,9.329214,-3.547697,2.315956,-4.75274,2.512248,1.057149,5.859136,2.124534,0.6297475,-2.647254,-0.6809626,0.3037127,0.1370953,0.3974428,-0.8699639,2.641018,0.8402721,3.739716,0.6153363,-1.102119,2.145952,-1.211675,0.1414961,0.0473531,2.514798,1.741459,4.254361,
7,0,770.0978,N/A,N/A,Ice,Lightning,1.15222,0.3291692,-0.0525222,0.2663676,-2.086584,6.587012,-1.057635,5.184102,-2.885277,2.517013,0.9743821,5.791411,-0.5960513,4.610042,-0.9624048,0.4401382,0.8620079,-0.3732975,1.441751,0.2731076,-0.6208862,-0.8961557,-4.144722,0.4909559,-0.9850185,0.1261963,-1.001075,2.17782,0.6614932,0.2083951,-2.591889,1.717233,0.4381458,3.039086,
8,0,759.6213,N/A,N/A,Balanced,Blaster,3.748547,0.4842894,-2.087832,0.1791734,-0.8295177,7.725103,-0.2659167,5.865391,1.376573,4.416709,-1.568974,3.985748,-0.2337055,4.864155,0.9350171,0.5581739,0.4485185,-0.416901,-2.007013,-0.1497421,-0.1666923,-0.8851035,0.4805751,0.7540154,0.7604196,0.3319805,-1.226698,2.107198,1.172884,0.2302715,1.219828,2.878269,3.205907,4.80528,
9,0,765.1349,N/A,N/A,Fire,Player,-1.242638,0.2123765,-1.594566,0.1980318,0.8703444,9.312744,-1.342776,4.956163,2.760127,5.231225,-1.404225,4.085466,-0.3064528,4.812212,2.430837,0.6474181,-1.047955,-0.5587366,1.515473,0.2816139,-0.7189735,-0.8984156,-0.6422895,0.6983446,-0.53265,0.1813892,0.5300013,2.708659,0.7827696,0.213441,-1.581599,2.01209,2.19861,4.500623,
